address,value_zubrin,last_height
ME942jmCQNvPbcdTy6cHPnCVhPKbSekaAk,51518476,130645
MN7tuyPCww3utTQU816L77TvRMbzzGjkKM,65933000000,1625707
MFNwe1HNpFmxkKWM6gLbyXtvc31yScsqjE,63100000,822991
MEJ4aUEhm3nX1Hy8ZJWc9uLrVqsFYLvmGy,51000000,765937
MWn6SB5HsZqSD8ApPPau6W5wJYQZss1iQd,23000000,822349
MPtjZdsbsFyM3e5wWYUTGhjTcBao9TJSVc,31000000,822417
MUcMTXJg1SLzJnY2w3aLuAvyPj16J497aT,23000000,846268
MRbrgkJQ4ciKXKnsg9feqGqeBcVBgkPNbt,53200000,811226
MBs1suZceYoBcw6LQtCauA36V2daFnaCdn,130200000,875312
MCHFJ9s694v6PvghFd8T7eYcjq8rvQAJQ4,34000000,853002
MTsRx1iDW6UKttDWQQ8zLKm3ranTFJe5rJ,800000,866221
MTSGUFTbbrUVdRFAH5yBULNqNgsakF2AJ6,2000000,843033
MNEjVcLqbEa3uQv9w4keN2Yc6irJP3mr38,321000000000,273301
MWdWKWtMnBAX8qXq29MZxM7eefoMWmSihD,33200000,823415
MRXZ7kxWziCiYmSxWFmDXGJFPD5Sm9M5Go,31100000,824326
MMKMZgjmAiHnEjHcw14H9631PdxoX9bNZV,31100000,850088
M9ihudvsepSwnzGQxK5nphjXGQmVRv4F6T,223857875887,1710087
M9ef9qVtu852ZbwjSnfSBz2yGrxJWj4wgu,1000000,841941
MFirawBCKA9A6cvqEMgxuAgh3iarR5zrFF,44100000,624725
M9dTBJpzhqhcMyGJnsgoLDAYc84CqBVvaM,100000000,97228
MRS9wkjcXqMiUHxkNPggd6ZZmhyJc4jqJA,2000000,843055
ML1bc8oxopeUNdBVK5GUZJsAsikyGeL8b1,84937333,78092
MLVbhAxX5sAbWBMc4QLzBvLHcY7q1W4AyM,41000000,766492
MAYLU4ezhjqVQvrnL3TYtGqdhyDj6qLw4c,2247514210300,561455
MFNRMo8dtL8LBMVRC5rK9wfeH2R7firZ6h,31000000,824373
MJ6v3HEX7w3kXC8eySX2HKEgZdwtyUFKw4,40100000,822349
MHkGXLZdRbS5veviuEquKkuas7PqkaQdkY,33200000,843033
MBAxsrWLqmLesXvD53nXtdNTh9kW1csmmk,4000000,856267
MFKnGL2Qi9ZwwuL65ztvpaQtcz731jamTU,11100000,872814
MMwFmMhoxHtKpQ1kxC3cTfY8rksKmoLSd8,53100000,871404
M84Qh3PCPW2J89GvvCY8ya9MNV8mw93kni,51100000,828015
MNbq2psVWFsP62PhyDLVgQVWgB3yheKuCD,399900000000,820431
MVcwF4Aercz41VMfLdZp5VpNnQKBko9pPy,200000000,78144
MDyBDCE5JeRKxpCrATyEJkqzhurCSE3JRP,550831468,864842
M88W93MPAWq1XM1NrmwxuzsKgqXyFEPcxR,32100000,710968
MDbyLstAjbUWYj22otqgkjQTJFHDbykYY1,21100000,822981
MQMaUL6g8j5JWR81DWTynL9QQJ5VQ9x4t2,30200000,822991
MCiDS9m5skvM8EQ6iJPcdJTBt2du5RYo4Z,101300000,876970
MHwQh6Z4WwpqnMwNkZo2LFnqKmhk13VmT6,463387645,1441986
MLUnxQTqrVSHmsgimaoHZnPfiWv3F3RS7c,22000000,831396
MV85gvyiJPMxei3NNHq1J4M7gd6NgX4WKi,72300000,822361
MHTCm1WkfjjMwUsUmFAAC2yePuczid8Hki,499999000,88254
M9MMH8bKouXug1ENo4LdNFnY36U4sM8d5B,100000000,96697
M9HWCdFSBfzxoXvxS3Q6tWDs2RvBQwFFjM,15798140000,1478542
MEgRpW17Pv4uMBFXhQPkZb7ogg76v9eqij,31100000,585014
MQJAYxubR8VYZECVFZ5G1gDrtYTfcg54QP,21000000,822404
MUBrFSdzddMc2Fq474pjzzowzrPZkDuupE,357278786,823309
MFEwry1C6aBJu15H3taAHG7UszEKasfLzh,32200000,821898
MD95Nw6FENBHKfxQeVXfWoRkvFVjkx9TNP,12000000,824689
MAnZk6SKvqB2P6LNtsxNGzZ9jgrweD13GU,42000000,821899
MDfht2zJEJLkEkQYtm2xAMDABJC1Pbt4jd,32000000,822472
M8G6AgE8ryWFdZFu3SemNcJ7c3673bZNK5,43100000,852396
MPruEWom2yvB2soyxyWTpPJQ7tms8AyRv6,1351480600,1540645
MWocH6p7gEhbDhJiS9WLbeG7h9jL56HMnA,83000000,822994
MVPdyVP78WX4nRagaTSyyLpFi7MuEkcvfj,1192650,1348433
MJVZZvvi6LxzLH9NCTF8VJ1kg9gSqCj8ZE,2000000,835548
MR2rLeetio5chDYxkdBNVgiKWjfFT9rJQZ,5949975203659,1789591
MRaetSDkTWCD7f45fMuPtLVundWwGq1dPi,300000000,84710
MGQAX8LSqiLXDt6jKE47q2p25ddddHsQwx,2000000,843020
MUvCsuMTm2jKYmr4F5PW2o8PAhwG5yqpwb,500000000,1403706
MHdri96fU3adG2JLveDrQtYoxK3ZBBgko5,64000000,853502
MSB3hanSDxguxHHNSk1yWnopeWf5V8M15n,10000000,822964
MLKYqyPEewx1QD24vkVftcXMBj6c4YAJNK,20000000,822465
M8gMprk9n3zBid3giRMQLxSRCUySLxks9m,100000,899016
MRFR5p1ud2apj5UAr2WzE4jVbYsT94An7k,1100000,12148
MHmsj8LEpWfdR3bdkrVK2ok8G92LPgR4T3,33000000,822969
MNH4LFZtLWdaSnZQk8sNi5qzed9tw9DHjN,41000000,822361
MAJaY2qieUFzSnfEyaVr6gub577j9tEfYx,2000000,856350
MDKNWmyzsVCozjygAJ6Dmhc7TJQ5y7eGyK,32000000,825695
MLfKEwe5LLwz5qfnN8DJfEyugVkpUbaN3V,2000000,843052
MQefKtj1S3qnxh3vFfU5zyfSRG5FhBVrZ7,1000000,835675
MRgmJUpWJP3UJ2P6xKgRJYXGZrQtfAgTaA,71200000,824374
MR3HvtrpDUAP1aYPbuEYsYvrkcQ9GZdigh,46950000000,822912
MFBXEoVtW94ctTyBRqCVKZdeATx2ZS4EGe,52100000,720815
MDopmSe3qtWbZRVCE2n4rPPunVnWNqmggc,12047219549,96064
MM9szL7SF8hMXzmzAGTgKracaFgkupL5h5,42000000,843007
MWEyDzPgqShvd183arzwgFK2iAYokWqKvg,600000,875312
MDeE3TgyA4L6DJ1AEKP3jVkvvBxYxKGh1A,2000000,843036
MVVGfcLAFcVorbDi2W5f6imah8wugxd9Sd,1000000,844566
MTHr4k1B62aYYYtKM8Zfy2L9cWE8pEXbHg,43100000,822425
MHZci1yUP2VW77nJZuapfqSfjY4RJms64M,1000000,841596
MTbPaRCLWTshesVo6TkmFbNwqSFSrm8yuK,23200000,821938
MHDFZ3ywSLn2STAhskHNaVe6VVKyLZKbzW,32100000,715001
MU4bEEYeTmrJ5U4NdXw4U6MhRURgz1GEEJ,41000000,727446
MTaFhZMHej2G66NiawSP45bQmaXjXzLTCX,12000000,847851
